b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
986	1	198	0	1428	395	284	78	143	2625
239	1	47	0	589	395	119	78	145	2625
647	326	143	69	1071	756	224	153	299	2690
860	528	177	102	1146	817	231	157	100	5259
922	930	196	181	1384	1399	293	277	157	5524
191	1153	36	238	449	1425	87	293	138	11989
832	763	175	157	1208	1054	253	218	148	11990
872	534	177	96	1319	996	264	188	143	16299
90	497	19	88	548	996	111	188	145	16299
866	1378	176	239	1156	1687	232	300	143	20204
999	945	211	182	1302	1176	275	231	211	21338
435	857	94	170	806	1207	172	244	243	21706
